player,xg,xa,npxg
Kyle Walker,0.03,0.02,0.03
Kyle Walker-Peters,0.08,0.03,0.08
Aaron Wan-Bissaka,0,0,0
Danny Ward,0,0,0
Joel Ward,0,0,0
James Ward-Prowse,0.05,0.15,0.05
Ollie Watkins,0.2,0.2,0.2
Adam Webster,0.1,0,0.1
Danny Welbeck,0.2,0.21,0.2
Ben White,0,0.09,0
Neco Williams,0.08,0.15,0.08
Willian,0,0,0
Joe Willock,0.26,0.07,0.26
Callum Wilson,0.45,0.06,0.45
Yoane Wissa,0.5,0,0.5
Chris Wood,0.13,0.04,0.13
Joe Worrall,0.03,0,0.03
Granit Xhaka,0.14,0.07,0.14
Ryan Yates,0.2,0.04,0.2
Ashley Young,0,0,0
Wilfried Zaha,0.54,0.23,0.35
Jordan Zemura,0,0.05,0
Oleksandr Zinchenko,0.04,0.07,0.04
Hakim Ziyech,0.09,0.11,0.09
Kurt Zouma,0.05,0,0.05
